INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
129	0	1	66	18	810112	0	0	0	0	0	0	4	11	#P一群#G恶僧#P觊觎少林绝学，趁少林寺内僧众云游之际，竟勾结伪官军欲闯入少林禁地藏经阁夺取武功秘笈。各少林云游武僧听闻，正在#G雁南#P集结，准备返回少林驰援师门。愿江湖正义之士前去与各地弟子相会，帮助少林渡过危机。（40级以上单人组队可参加）	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	藏经阁	0
130	0	1	86	18	810112	0	0	0	0	0	0	4	11	#P一群#G恶僧#P觊觎少林绝学，趁少林寺内僧众云游之际，竟勾结伪官军欲闯入少林禁地藏经阁夺取武功秘笈。各少林云游武僧听闻，正在#G雁南#P集结，准备返回少林驰援师门。愿江湖正义之士前去与各地弟子相会，帮助少林渡过危机。（40级以上单人组队可参加）	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	藏经阁	0
131	0	1	92	18	810112	0	0	0	0	0	0	4	11	#P一群#G恶僧#P觊觎少林绝学，趁少林寺内僧众云游之际，竟勾结伪官军欲闯入少林禁地藏经阁夺取武功秘笈。各少林云游武僧听闻，正在#G雁南#P集结，准备返回少林驰援师门。愿江湖正义之士前去与各地弟子相会，帮助少林渡过危机。（40级以上单人组队可参加）	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	藏经阁	0
#161	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	保护帮会	95
#162	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	保护帮会	95
#163	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_01}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
#164	1	1	5	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_02}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
#165	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_03}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
#166	1	1	0	420	808040	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	极品装备	-1
167	0	1	2	420	820001	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
#168	1	1	76	0	808076	88	0	0	0	0	0	4	60	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y明天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	奥运蹴鞠活动预告	95
#169	1	1	12	0	808076	75	0	0	0	0	0	4	120	#cff99cc横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#cff99cc拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#cff99cc蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#cff99cc拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	60	#cff99cc蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#cff99cc找到#Y童贯#cff99cc大人、#G大理[282，94]#Y夏青青#cff99cc、#G苏州[187，147]#Y于倩倩#cff99cc参加比赛！	1140	30	#cff99cc蹴鞠大赛即将在今天晚上#Y23点#cff99cc结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#cff99cc蹴鞠大赛本日比赛到此结束，请各路英雄关注稍后的赛事，谢谢！	1205	-1	奥运蹴鞠活动公告	95
170	0	1	66	0	808000	0	0	0	0	0	0	4	30	#P新一轮的#G楼兰寻宝活动#P即将於#G19：30#P开始，请各位玩家做好准备。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍，找到#G楼兰（162，75）金久灵#P就可以参加。	170	5	#G楼兰寻宝活动#P即将於#G19：30#P开始，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍就可以参加。	180	20	#G楼兰寻宝活动#P已经开始了，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。	320	5	#P今天的#G楼兰寻宝活动#P将於#G22：00#P结束，请各位玩家抓紧时间。	329	1	#P今天的#G楼兰寻宝活动#P已经结束，感谢各位的参与。欢迎您明天再来！	330	-1	楼兰寻宝	95
#171	0	1	85	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
#172	0	1	87	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
#173	0	1	85	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	87
#174	0	1	87	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	89
#175	0	0	26376	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	26395
#176	0	0	26412	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	26495
#177	0	0	29176	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	29195
#178	0	0	29212	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	29295
#179	0	0	31976	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	31995
#180	0	0	32012	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	32095
#181	0	0	35476	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	35495
#182	0	0	35512	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	35595
#183	1	0	25700	39	50058	1440	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	中秋节玉兔下凡	27300
#184	0	1	54	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
#185	0	1	54	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	56
186	0	1	34	0	808000	0	0	0	0	0	0	4	30	#P新一轮的#G楼兰寻宝活动#P即将於#G11：30#P开始，请各位玩家做好准备。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍，找到#G楼兰（162，75）金久灵#P就可以参加。	170	5	#G楼兰寻宝活动#P即将於#G11：30#P开始，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍就可以参加。	180	20	#G楼兰寻宝活动#P已经开始了，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。	350	5	#P今天的#G楼兰寻宝活动#P将於#G14：30#P结束，请各位玩家抓紧时间。	359	1	#P今天的#G楼兰寻宝活动#P已经结束，感谢各位的参与。欢迎您明天再来！	360	-1	楼兰寻宝	95
#187	0	1	74	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
#188	0	1	76	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
#189	0	1	74	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	76
#190	0	1	76	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	78
