INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
87	12	洛神侠士	逍遥高级男弟子。	21	3	-1	师门贡献	1	逍遥男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
88	12	逍遥神龙	逍遥资深男弟子。	21	4	-1	师门贡献	1	逍遥男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89	12	逍遥侠女	逍遥初级女弟子。	21	1	-1	师门贡献	1	逍遥女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
90	12	莳花居士	逍遥中级女弟子。	21	2	-1	师门贡献	1	逍遥女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
91	12	凌波侠女	逍遥高级女弟子。	21	3	-1	师门贡献	1	逍遥女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
92	12	逍遥圣女	逍遥资深女弟子。	21	4	-1	师门贡献	1	逍遥女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
93	13	初级师傅	初为人师，与徒弟共同进步。#r可收2名徒弟	28	1	-1	师德等级	1	第一次收徒时，即可获得该称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
94	13	中级师傅	为人师表，兢兢业业。#r可收3名徒弟	28	2	-1	师德等级	1	师德值达到6000点后可以领取该称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	13	高级师傅	为人师表，声名远播。#r可收5名徒弟	28	3	-1	师德等级	1	师德值达到12000点后可以领取该称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	13	一代名师	一代名师，桃李满天下。#r可收8名徒弟	28	4	-1	师德等级	1	师德值达到20000点后可以领取该称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	14	_JIEBAI_	义结金兰，生死与共！	24	1	-1	结拜	1	结拜称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	15	$N帮众	帮派普通成员。	23	1	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	15	$N精英	帮派精英成员。	23	2	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	15	$N商人	帮派跑商负责人。	23	3	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	15	$N内务使	帮派内务负责人。	23	4	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	15	$N工务使	帮派工农业负责人。	23	5	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	15	$N弘化使	帮派发展负责人。	23	6	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	15	$N副帮主	帮派副帮主，帮主的得力助手。	23	7	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	15	$N帮主	帮会老大，帮派的最高管理者。	23	8	-1	帮派(不是通过称号)	1	帮会职位称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	16	情圣	诉情谊花语，汇天下风流。	19	1	-1	"999朵玫瑰,男"	1	送出或收到999朵玫瑰的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	16	玫瑰仙子	诉情谊花语，汇天下风流。	19	1	-1	"999朵玫瑰,女"	1	送出或收到999朵玫瑰的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	17	剿匪义士	响应朝庭号召之剿匪义士。	30	1	-1	钱宏宇称号	1	与钱宏宇的关系达到1000~1999点时获得的称号（每完成一次3环得到10点）。	0	106	-1	-1	48	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	17	破匪侠士	响应朝庭号召之破匪侠士。	30	2	-1	钱宏宇称号	1	与钱宏宇的关系达到2000~3999点时获得的称号（每完成一次3环得到10点）。	0	106	-1	-1	48	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	17	镇匪英侠	响应朝庭号召之镇匪英侠。	30	3	-1	钱宏宇称号	1	与钱宏宇的关系达到4000~6499点时获得的称号（每完成一次3环得到10点）。	0	106	-1	-1	48	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	17	天下匪见愁	令天下群匪闻之丧胆之匪见愁。	30	4	-1	钱宏宇称号	1	与钱宏宇的关系达到6500~9999点时获得的称号（每完成一次3环得到10点）。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	18	行者无双	读万卷书，行万里路，天下无双！	31	1	-1	英雄任务	1	英雄任务称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	18	寂寞高手	武林高手，独来独往，问鼎江湖！	32	2	-1	英雄任务	1	英雄任务称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	18	无敌侠客	侠肝义胆，天下无敌，只求一败！	33	3	-1	英雄任务	1	英雄任务称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	18	盖世英雄	英雄盖世，名震寰宇，万古流芳！	34	4	-1	英雄任务	1	英雄任务称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	19	剿匪游击将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领如坐针毡之威势。	35	1	-1	镜湖剿匪	1	剿灭镜湖水匪头领六名后获得的称号。	0	106	-1	-1	48	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	19	剿匪破虏将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领心生怯意之威势。	35	2	-1	镜湖剿匪	1	剿灭镜湖水匪头领十八名后获得的称号。	0	106	-1	-1	48	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	19	剿匪车骑将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领闻风丧胆之威势。	35	3	-1	镜湖剿匪	1	剿灭镜湖水匪头领五十名后获得的称号。	0	106	-1	-1	48	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	19	剿匪大将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领不战而降之威势。	35	4	-1	镜湖剿匪	1	剿灭镜湖水匪头领百名后获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	21	$N★关内侯	帮会低级爵位，张辽曾赐爵关内侯。	38	1	-1	帮派贡献度称号	1	帮会贡献度达到250获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	21	$N★亭侯	帮会低级爵位，关羽曾赐爵汉寿亭侯。	38	2	-1	帮派贡献度称号	1	帮会贡献度达到750获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	21	$N★乡侯	帮会中级爵位，司马懿曾赐爵安国乡侯。	38	3	-1	帮派贡献度称号	1	帮会贡献度达到1500获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	21	$N★县侯	帮会中级爵位，诸葛亮曾赐爵武乡县侯。	38	4	-1	帮派贡献度称号	1	帮会贡献度达到3000获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	21	$N★郡侯	帮会中级爵位，羊祜曾赐爵南城郡侯。	38	5	-1	帮派贡献度称号	1	帮会贡献度达到7500获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	21	$N★县公	帮会高级爵位，刘禅曾赐爵安乐县公。	38	6	-1	帮派贡献度称号	1	帮会贡献度达到15000获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	21	$N★郡公	帮会高级爵位，孙权曾赐爵吴郡郡公。	38	7	-1	帮派贡献度称号	1	帮会贡献度达到30000获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	21	$N★国公	帮会高级爵位，司马昭曾赐爵晋国公。	38	8	-1	帮派贡献度称号	1	帮会贡献度达到60000获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	21	$N★郡王	帮会超级爵位，刘备曾赐爵汉中王。	38	9	-1	帮派贡献度称号	1	帮会贡献度达到125000获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	21	$N★亲王	帮会超级爵位，曹操曾赐爵魏王。	38	10	-1	帮派贡献度称号	1	帮会贡献度达到250000获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	22	连斩狂客	百步斩，今扬名。	39	1	168	帮战获得的称号	1	一次帮会征讨中杀人次数最多获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	22	超级旗手	迎朔风，夺旌旗。	40	1	168	帮战获得的称号	1	一次帮会征讨中占领旗帜最多获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	22	搜宝专家	蓄粮草，定胜负。	41	1	168	帮战获得的称号	1	一次帮会征讨中采集资源最多获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	24	缥缈之锋芒初现	牛刀小试，锋芒初现！	43	1	-1	挑战缥缈峰获得的称号	1	获得1个缥缈玄符后兑换的称号。	0	106	-1	-1	0	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	24	缥缈之豪情无双	长剑出鞘，豪情无双！	43	2	-1	挑战缥缈峰获得的称号	1	在之前的基础上获得15个缥缈玄符后兑换的称号。	0	106	-1	-1	0	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	24	缥缈之战无不胜	攻无不克，战无不胜！	43	3	-1	挑战缥缈峰获得的称号	1	在之前的基础上获得45个缥缈玄符后兑换的称号。	0	106	-1	-1	0	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	24	缥缈之我意纵横	凌绝缥缈，我意纵横！	43	4	-1	挑战缥缈峰获得的称号	1	在之前的基础上获得90个缥缈玄符后兑换的称号。	0	106	-1	-1	0	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	25	广目天王	群星至，除煞时，广目天王今在此！	7	1	-1	杀星副本称号	1	打败所有煞星各1次获得的称号。	0	106	-1	-1	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	25	多闻天王	群星至，除煞时，多闻天王今在此！	7	1	-1	杀星副本称号	1	打败所有煞星各10次获得的称号。	0	106	-1	-1	46	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	25	增长天王	群星至，除煞时，增长天王今在此！	7	1	-1	杀星副本称号	1	打败所有煞星各50次获得的称号。	0	106	-1	-1	46	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	25	持国天王	群星至，除煞时，持国天王今在此！	7	1	-1	杀星副本称号	1	打败所有煞星各200次获得的称号。	0	106	-1	-1	46	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	26	凤凰古城的霸主	夺得凤凰平原胜利的英雄！	44	1	72	凤凰平原城战胜利获得的称号	1	凤凰平原城战胜利获得的称号。	0	106	-1	-1	48	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	27	登堂入室	炼气入体，突破三重。	45	2	-1	修炼称号	1	当前最高修炼境界达到第3重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	27	鹤立鸡群	炼气入体，突破四重。	45	3	-1	修炼称号	1	当前最高修炼境界达到第4重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	27	驾轻就熟	炼气入体，突破五重。	45	4	-1	修炼称号	1	当前最高修炼境界达到第5重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	27	非比寻常	炼气入体，突破六重。	45	5	-1	修炼称号	1	当前最高修炼境界达到第6重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	27	登峰造极	炼气入体，突破七重。	45	6	-1	修炼称号	1	当前最高修炼境界达到第7重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	27	技冠群雄	炼气入体，突破八重。	45	7	-1	修炼称号	1	当前最高修炼境界达到第8重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	27	一代宗师	炼气入体，突破九重。	45	8	-1	修炼称号	1	当前最高修炼境界达到第9重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	27	震古烁今	炼气入体，突破十重。	45	9	-1	修炼称号	1	当前最高修炼境界达到第10重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	27	超凡入圣	炼气入体，已臻化境。	45	10	-1	修炼称号	1	当前最高修炼境界达到第11重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
151	27	超凡入圣·五行强者	五行宝典，已臻至境。	45	11	-1	修炼称号	1	五行宝典的当前最高修炼等级达到第12重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	27	超凡入圣·无涯居士	无涯遗书，已臻至境。	45	11	-1	修炼称号	1	无涯遗书的当前最高修炼等级达到第12重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
153	27	天人合一	至境无境，至道无道。	45	12	-1	修炼称号	1	当前最高修炼境界都达到第12重时，获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
154	29	一剑倾天下	独步武林，莫敢与争。	47	1	48	华山论剑称号	1	华山论剑中夺得门派赛、个人赛双料冠军的门派弟子可以领取的称号。	0	106	-1	-1	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
155	30	少林首席大弟子	华山论剑，少林为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156	30	明教首席大弟子	华山论剑，明教为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	30	丐帮首席大弟子	华山论剑，丐帮为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
158	30	武当首席大弟子	华山论剑，武当为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
159	30	峨嵋首席大弟子	华山论剑，峨眉为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	30	星宿首席大弟子	华山论剑，星宿为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	30	天龙首席大弟子	华山论剑，天龙为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	30	天山首席大弟子	华山论剑，天山为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
163	30	逍遥首席大弟子	华山论剑，逍遥为先！	46	1	48	华山论剑称号	1	取得华山论剑个人赛的前三名获得的称号。	0	106	-1	-1	48	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
164	32	热心球迷	观看世界蹴鞠大赛的热心球迷。	62	1	1440	南非世界杯称号	1	世界蹴鞠大赛竞猜积分在1000~3499之间给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
165	32	高端球迷	热爱世界蹴鞠大赛的高端球迷。	62	2	1440	南非世界杯称号	1	世界蹴鞠大赛竞猜积分在3500~5199之间给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
166	32	资深球帝	评论世界蹴鞠大赛的资深球帝。	62	3	1440	南非世界杯称号	1	世界蹴鞠大赛竞猜积分在5200~10399之间给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
167	32	黄金球神	鉴赏世界蹴鞠大赛的黄金球神。	62	4	1440	南非世界杯称号	1	世界蹴鞠大赛竞猜积分10400或以上给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
168	33	梦回天龙我为先	梦回天龙，我为先锋。	52	1	-1	参加怀旧·新天龙八部初心首测，角色等级达50级获得。	1	参加怀旧·新天龙八部初心首测，角色等级达50级获得。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
169	34	天龙故友·一载归来	相识一载，再见故友。执手相看，言笑晏晏。	51	1	-1	成功使用天龙故友系列礼包后获得。	1	与新天龙八部相识一载的侠士，再现天龙江湖之时，所被授予的荣誉称号。成功使用天龙故友系列礼包后获得。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
