INT	INT	INT	STRING	INT	STRING	STRING
112	-1	16	护岛神兽	88	#Y[护岛神兽]	#Y[护岛神兽]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤#r珍兽技能书#r药品#r灵兽丹·咒#r灵兽丹·震#r灵兽丹·虚#r灵兽丹·风#r珍兽幻化丹碎片#r200元宝
113	-1	16	无敌飞天猫	89	#Y[无敌飞天猫]	#Y[无敌飞天猫]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤#r珍兽技能书#r药品#r灵兽丹·咒#r灵兽丹·震#r灵兽丹·虚#r灵兽丹·风#r珍兽幻化丹碎片#r200元宝
114	-1	16	小猪猪	90	#Y[小猪猪]	#Y[小猪猪]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
115	-1	16	小狗狗	91	#Y[小狗狗]	#Y[小狗狗]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
116	-1	16	小鹰鹰	92	#Y[小鹰鹰]	#Y[小鹰鹰]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
117	-1	16	小虎虎	93	#Y[小虎虎]	#Y[小虎虎]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
118	-1	17	镇宝龙王	94	#Y[镇宝龙王]	#Y[镇宝龙王]#r#G楼兰寻宝副本#r75级以上，心法40级。每天的11：30-14：30以及19：30—22：00组队找到楼兰的金久灵[162，75]参加挑战。#ccc33cc#r掉落：#W#r秘银矿石#r珍兽还童卷轴#r药品#r鉴定卷轴#r怪物相册#r奇物#r神亦石#r灵魂碎片#r200元宝
119	-1	18	王阎	95	#Y[王阎]	#Y[王阎]#r#G楼兰连环副本#r75级、45心法可击杀Boss#ccc33cc#r掉落：#W#r药品#r烹饪#r行囊格箱#r配方食谱#r玄昊玉#r黄金之链（任务道具）#r忆魂石#r200元宝
120	-1	18	洪棘妖王	96	#Y[洪棘妖王]	#Y[洪棘妖王]#r#G楼兰连环副本#r75级、45心法可击杀Boss#ccc33cc#r掉落：#W#r药品#r烹饪#r行囊格箱#r配方食谱#r玄昊玉#r玄佛珠（任务道具）#r忆魂石#r200元宝
121	-1	18	火焰妖魔	97	#Y[火焰妖魔]	#Y[火焰妖魔]#r#G楼兰连环副本#r75级、45心法可击杀Boss#ccc33cc#r掉落：#W#r药品#r烹饪#r行囊格箱#r配方食谱#r玄昊玉#r全真行功要诀#r新莽神符#r忆魂石#r回天神石#r金蚕丝#r200元宝
122	-1	19	搬山道人	121	#Y[搬山道人]	#Y[搬山道人]#r#G凤凰陵墓#r由40级以上的凤凰古城争夺战胜利者带队可击杀#ccc33cc#r掉落：#W#r鉴定卷轴#r1级宝石#r低级宝石合成符#r武器装备#r灵魂碎片#r麟木箭#r60级以上搬山道人掉落武魂：御瑶盘#r60级以上搬山道人掉落武魂：琉璃焰#r80级门派坐骑#r80-89级搬山道人掉落神兵符1级#r90-99级搬山道人掉落神兵符2级#r100-119级搬山道人掉落神兵符3级
123	-1	20	天魁星宋姜	101	#Y[天魁星宋姜]	#Y[天魁星宋姜]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
124	-1	20	天罡星卢君逸	102	#Y[天罡星卢君逸]	#Y[天罡星卢君逸]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
125	-1	20	天机星吴永	103	#Y[天机星吴永]	#Y[天机星吴永]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
126	-1	20	天杀星李魁	104	#Y[天杀星李魁]	#Y[天杀星李魁]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
127	-1	20	天闲星公孙圣	105	#Y[天闲星公孙圣]	#Y[天闲星公孙圣]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
128	-1	20	天勇星关盛	106	#Y[天勇星关盛]	#Y[天勇星关盛]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
129	-1	20	天雄星林充	107	#Y[天雄星林充]	#Y[天雄星林充]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
130	-1	20	天猛星秦冥	108	#Y[天猛星秦冥]	#Y[天猛星秦冥]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
131	-1	20	天英星花容	109	#Y[天英星花容]	#Y[天英星花容]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
132	-1	20	天伤星武颂	110	#Y[天伤星武颂]	#Y[天伤星武颂]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
133	-1	20	天孤星鲁志生	111	#Y[天孤星鲁志生]	#Y[天孤星鲁志生]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
134	-1	20	天威星呼延啄	112	#Y[天威星呼延啄]	#Y[天威星呼延啄]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉#r200元宝
135	-1	21	工魂影像	59	#Y[工魂影像]	#Y[工魂影像]#r#G摩崖洞#r40级Boss#ccc33cc#r掉落：#W#r宝石#r40-50级门派套装#r200元宝
136	-1	21	企鹅王	42	#Y[企鹅王]	#Y[企鹅王]#r#G银皑雪原#r80级Boss#ccc33cc#r掉落：#W#r行囊格箱#r门派套装#r蒲扇#r宫扇#r鉴定卷轴#r万灵石#r雪落无痕#r新莽神符#r1000元宝
137	-1	21	木桶伯	23	#Y[木桶伯]	#Y[木桶伯]#r#G宝藏洞#r30级Boss#ccc33cc#r掉落：#W#r药品#r武器装备#r行囊格箱#r打孔工具#r地煞强化精华#r天龙财富卡#r新莽神符1级#r200元宝
138	-1	21	护宝神兽	22	#Y[护宝神兽]	#Y[护宝神兽]#r#G宝藏洞#r18~27级Boss#ccc33cc#r掉落：#W#r药品#r行囊格箱#r武器装备#r打孔材料#r200元宝
139	-1	21	夺宝马贼	48	#Y[夺宝马贼]	#Y[夺宝马贼]#r#G挖宝随机放出#r可组队挑战#ccc33cc#r掉落：#W#r行囊格箱#r武器装备#r珍兽技能书#r时装制作图样#r1级宝石#r10元宝
