INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
586	13	153	118	盛如兰	天龙派轻功传授人	轻功	5	4
587	13	94	126	伍忠			99	5
588	13	92	121	知客僧			5	4
589	13	58	110	本喜	龙威武道长老	武道	5	4
590	13	38	109	本然	菩天武道长老	武道	5	4
591	14	37	130	场景：无量山		传送	99	2
592	14	152	153	范百龄			99	5
593	14	44	125	公冶子长	护派弟子	打怪	5	4
594	14	69	142	李傀儡	逍遥派传送人	传送	5	2
595	14	47	71	木人傀儡			99	5
596	14	119	152	秦观	逍遥派任务发布人	师门	5	3
597	14	125	144	苏星河	逍遥派拜师人	拜师	5	3
598	14	125	142	康广陵	逍遥派武功传授人	武功	5	3
599	14	65	55	苟读	神鹿管理员	坐骑	5	3
600	14	62	68	冯阿三	奇门遁甲技能传授人	奇门	5	3
601	14	52	151	石清露	六艺风骨技能传授人	六艺	5	3
602	14	54	150	石甘霖	逍遥派轻功传授人	轻功	5	4
603	14	59	71	石人傀儡			99	5
604	14	66	65	铜人傀儡			99	5
605	14	74	150	知客弟子			5	4
606	14	110	151	艾凉河	逸仙武道长老	武道	5	4
607	14	95	127	秦烟萝	明鬼武道长老	武道	5	4
608	15	89	156	场景：剑阁		传送	99	2
609	15	39	152	佛光凤凰			99	5
610	15	45	42	金顶凤凰			99	5
611	15	146	46	灵泉凤凰			99	5
612	15	94	147	柳三妹	守山弟子	打怪	5	4
613	15	95	86	孟龙	峨嵋派任务发布人	师门	5	3
614	15	96	51	李十二娘	峨嵋派拜师人	拜师	5	3
615	15	96	73	孟青青	兑换称号物品	掌门	5	3
616	15	98	51	崔绿华	峨嵋派武功传授人	武功	5	3
617	15	145	53	萧湘玉	凤凰管理员	坐骑	5	3
618	15	43	108	韩映雪	制符指导	制符	5	3
619	15	39	109	扈三娘	灵心术技能指导	灵心	5	3
620	15	105	58	孙二娘	峨嵋派轻功传授人	轻功	5	4
621	15	156	99	桃花仙			99	5
622	15	156	112	桃叶仙			99	5
623	15	156	106	桃枝仙			99	5
624	15	146	156	万年凤凰			99	5
625	15	97	71	小茗			99	5
626	15	94	71	小诗			99	5
627	15	86	142	杨四娘	峨嵋派传送人	传送	5	2
628	15	91	140	知客弟子			5	4
629	15	157	125	聚落花	沁芳武道长老	武道	5	4
630	15	131	100	苏戈	清音武道长老	武道	5	4
631	16	96	159	场景：敦煌		传送	99	2
632	16	90	88	出尘子	星宿派轻功传授人	轻功	5	4
633	16	142	48	大理药篓子			99	5
634	16	128	78	红玉			5	4
635	16	136	48	契丹药篓子			99	5
636	16	99	150	天狼子	星宿派传送人	传送	5	2
637	16	100	143	天璇子	护卫使	打怪	5	4
638	16	96	92	王彦	星宿派任务发布人	师门	5	3
639	16	95	75	韩世忠	星宿派拜师人	拜师	5	3
640	16	142	55	丁春秋	兑换称号物品	掌门	5	3
641	16	87	70	施全	星宿派武功传授人	武功	5	3
642	16	97	46	天鹰子	牦牛管理员	坐骑	5	3
643	16	101	89	狮吼子	引虫技能传授人	引虫	5	3
644	16	101	87	摘星子	制毒技能传授人	制毒	5	3
645	16	131	48	西域药篓子			99	5
646	16	94	151	知客使			5	4
647	16	64	144	蒿莱子	寒冥武道长老	武道	5	4
648	16	70	111	莲舟子	九厄武道长老	武道	5	4
649	17	94	158	场景：敦煌		传送	99	2
650	17	96	148	邓婆	天山巡山使	打怪	5	4
651	17	95	60	符敏仪	天山派任务发布人	师门	5	3
652	17	91	44	梅剑	天山派拜师人	拜师	5	3
653	17	88	44	兰剑	天山派武功传授人	武功	5	3
654	17	39	71	任飞虹	神雕管理员	坐骑	5	3
655	17	123	67	石嫂	采冰术技能传授人	采冰	5	3
656	17	119	67	余婆	玄冰术技能传授人	玄冰	5	3
657	17	101	44	菊剑			5	4
658	17	90	120	乌老大	天山派传送人	传送	5	2
659	17	97	117	知客使			5	4
660	17	98	44	竹剑	天山派轻功传授人	轻功	5	4
661	17	47	102	吴森森	霜凝武道长老	武道	5	4
662	17	53	118	吴淼淼	雪隐武道长老	武道	5	4
663	18	33	58	场景：草原		传送	99	2
664	18	264	286	场景：洛阳		传送	99	2
665	18	34	39	场景：摩崖洞		传送	99	2
666	18	248	37	场景：雁北		传送	99	2
667	18	184	66	灰熊			1	5
668	18	253	210	金钱豹			1	5
669	18	241	74	寇封			2	5
670	18	156	163	骆奉仙			1	5
671	18	260	88	马承倩			2	5
672	18	130	49	马植			2	5
673	18	38	206	秦伯起			1	5
674	18	37	129	秦家寨喽啰			1	5
675	18	68	201	秦家寨亲兵			1	5
676	18	127	123	秦家寨探子			1	5
677	18	82	73	深水怪兽			1	5
678	18	240	262	西北狼			1	5
679	18	102	36	雁南正北校尉		城市	2	2
680	18	283	113	雁南正东校尉		城市	2	2
681	18	72	284	雁南正南校尉		城市	2	2
682	18	128	50	耶律莫哥			2	5
683	18	263	46	种世衡			2	5
684	18	242	73	周无畏			2	5
685	19	59	60	场景：草料场		传送	99	2
686	19	139	259	场景：古墓一		传送	99	2
687	19	228	280	场景：雁南		传送	99	2
688	19	153	202	八爪怪兽			1	5
689	19	184	79	打草谷辽兵			1	5
690	19	233	93	红枫熊			1	5
691	19	150	200	红枫蜘蛛			1	5
692	19	225	131	红寡妇			1	5
693	19	246	129	红铁爪			1	5
694	19	271	49	鲁平			2	5
695	19	231	203	苗庆			2	5
696	19	280	60	穆岛	兑换燕侯套装	燕侯	2	4
697	19	40	153	秦家寨护卫			1	5
698	19	36	249	秦家寨教头			1	5
699	19	163	136	秦家寨劫匪			1	5
700	19	233	192	曲端			2	5
701	19	234	24	雁北东北校尉		城市	2	2
702	19	116	29	雁北西北校尉		城市	2	2
703	19	32	128	雁北正西校尉		城市	2	2
704	19	195	41	耶律余睹			2	5
705	20	271	33	场景：长白山		传送	99	2
706	20	119	32	场景：辽西		传送	99	2
707	20	65	195	场景：水晶湖		传送	99	2
708	20	287	258	场景：雁南		传送	99	2
709	20	162	160	阿菲			2	5
710	20	161	156	阿林			2	5
711	20	77	124	白冥启			1	5
712	20	177	250	草原狼			1	5
713	20	97	281	草原西南校尉		城市	2	2
714	20	271	191	草原正东校尉		城市	2	2
715	20	66	202	草原正西校尉		城市	2	2
716	20	40	45	打草谷宋兵			1	5
717	20	275	146	端木元			1	5
718	20	199	202	老烈头			2	5
719	20	275	269	蒙古黑蜂			1	5
720	20	138	53	阮诚			2	5
721	20	190	200	阮老太太			2	5
722	20	198	202	阮实			2	5
723	20	78	246	闪电马匪			1	5
724	20	273	156	弯刀马匪			1	5
725	20	163	158	萧蔷			2	5
726	20	198	104	追风马匪			1	5
727	21	61	297	场景：草原		传送	99	2
728	21	37	211	场景：先王坟		传送	99	2
729	21	285	45	场景：雪原		传送	99	2
730	21	104	59	阿史那默谷			1	5
731	21	158	195	巴图			2	5
732	21	161	268	白狼王			1	5
733	21	164	199	伯颜			2	5
734	21	163	191	博尔伦			2	5
735	21	88	220	大黑蜂			1	5
736	21	71	96	黑衣马匪			1	5
737	21	208	59	红衣马匪			1	5
738	21	173	187	剑定	鉴定符商人	鉴定	2	3
739	21	222	70	李通			1	5
740	21	277	258	辽西东南校尉		城市	2	2
741	21	75	35	辽西西北校尉		城市	2	2
742	21	40	142	辽西正西校尉		城市	2	2
743	21	279	48	刘季	打造图商人	打造	2	3
744	21	242	52	龙胜			1	5
745	21	277	204	轻甲莽盖			1	5
746	21	217	47	萧允			1	5
747	21	170	206	耶律金			2	5
748	21	194	216	一品堂刺客			1	5
749	22	33	269	场景：草原		传送	99	1
750	22	286	73	场景：黄龙府		传送	99	1
751	22	153	107	车传仁	驿站老板	传送	2	1
752	22	116	158	冰封傀儡			1	5
753	22	216	282	长白正南校尉		城市	2	2
754	22	39	63	长白西北校尉		城市	2	2
755	22	280	154	长白正东校尉		城市	2	2
756	22	75	272	东北虎			1	5
757	22	269	270	纥石烈阿疏			1	5
758	22	57	169	黑熊			1	5
759	22	132	73	獠牙雪人			1	5
760	22	147	123	徒单福晋			2	5
761	22	234	78	完颜阿骨打			2	5
762	22	178	113	完颜讹里朵			2	5
763	22	117	108	完颜呵里布			2	5
764	22	166	94	完颜斡离不			2	5
765	22	157	127	完颜吴乞买			2	5
766	22	118	107	完颜兀术			2	5
767	22	147	121	完颜盈哥			2	5
768	22	147	120	完颜粘没喝			2	5
769	22	117	112	萧方智			2	5
770	22	201	190	雪人			1	5
771	22	230	141	雪山猎人			1	5
772	23	48	287	场景：长白山		传送	99	2
773	23	201	255	场景：雪狼湖		传送	99	2
774	23	279	201	巴伦莽盖			1	5
775	23	174	260	大黑熊			1	5
776	23	166	204	符夕颜			2	5
777	23	144	104	洪霸	宝石商人	宝石	2	3
778	23	253	285	黄龙东南校尉		城市	2	2
779	23	28	54	黄龙西北校尉		城市	2	2
780	23	290	115	黄龙正东校尉		城市	2	2
781	23	206	31	任肇			2	4
782	23	79	38	霍斯			1	5
783	23	190	48	刘傲天			2	5
784	23	46	276	慕容天狼			2	5
785	23	163	191	拓跋文			2	5
786	23	159	133	雪山狼			1	5
787	23	67	143	雪山莽盖			1	5
788	23	217	84	木云雪人			1	5
789	23	155	195	宇文苏			2	5
790	23	78	66	重甲莽盖			1	5
791	24	34	157	场景：苍山		传送	99	2
792	24	287	32	场景：大理		传送	99	2
793	24	34	279	场景：石林		传送	99	2
794	24	284	87	场景：温泉洞		传送	99	2
795	24	153	127	赤脚野人			1	5
796	24	57	73	刀琅玕			2	5
797	24	207	49	刀尧			2	5
798	24	57	75	刀璎珞			2	5
799	24	111	130	恶狼守卫			1	5
800	24	285	166	洱海正东校尉		城市	2	2
801	24	173	283	洱海正南校尉		城市	2	2
802	24	34	100	洱海正西校尉		城市	2	2
803	24	189	195	风狼			1	5
804	24	225	77	花斑豹			1	5
805	24	275	197	简丁	鉴定符商人	鉴定	2	3
806	24	134	276	狼族荆棘使			1	5
807	24	229	146	狼族探子			1	5
808	24	99	121	狼族战士			1	5
809	24	96	126	萨宁			2	5
810	24	191	269	桃夭夭	桃花阵	布阵	2	2
811	25	286	56	场景：洱海		传送	99	2
812	25	278	122	场景：野人沟		传送	99	2
813	25	258	181	贝尔			1	5
814	25	37	172	苍山正西校尉		城市	2	2
815	25	294	153	苍山正东校尉		城市	2	2
816	25	146	284	苍山正南校尉		城市	2	2
817	25	52	89	长毛雪怪			1	5
818	25	264	202	迪亚			1	5
819	25	190	250	狼族神汉			1	5
820	25	138	236	狼族头人			1	5
821	25	262	198	狼族土司			1	5
822	25	158	70	狼族勇士			1	5
823	25	70	47	马兜灵	配方商人	配方	2	3
824	25	236	196	莫菲			1	5
825	25	195	113	萨都			2	5
826	25	260	182	萨鲁			2	5
827	25	164	53	孙坤	束河古镇	传送	2	1
828	25	155	205	萨玛			2	5
829	25	202	108	萨桑			2	5
830	25	76	91	萨雪			2	5
831	25	57	167	蓑衣野人			1	5
832	25	40	263	玄击金刚			1	5
833	25	47	104	雪狼			1	5
834	26	268	128	场景：洱海		传送	99	2
835	26	33	250	场景：南诏		传送	99	2
836	26	109	272	场景：树洞		传送	99	2
837	26	37	273	场景：盐湖		传送	99	2
838	26	112	34	场景：玉溪		传送	99	2
839	26	130	261	阿支			1	5
840	26	201	174	花岗狮王			1	5
841	26	76	185	花岗石人			1	5
842	26	217	147	花岗石狮			1	5
843	26	185	99	狼蛛			1	5
844	26	59	55	梁阿婆			2	5
845	26	45	44	秦红棉			2	5
846	26	226	36	石林东北校尉		城市	2	2
847	26	278	281	石林正南校尉		城市	2	2
848	26	45	177	石林正西校尉		城市	2	2
849	26	167	196	石人偃师			1	5
850	26	180	160	杨莲子			2	5
851	26	240	181	杨铁信			2	5
852	26	49	55	页岩石人			1	5
853	26	183	167	郑圆			2	5
854	26	183	166	郑君可			2	5
855	26	182	163	郑玄			2	5
856	26	273	45	棕熊			1	5
857	27	36	46	场景：石林		传送	99	2
858	27	54	167	场景：桃花源		传送	99	2
859	27	280	47	阿黑			2	5
860	27	277	44	阿依娜			2	5
861	27	246	273	大偃师			1	5
862	27	276	45	古鲁拉			2	5
863	27	57	73	剧毒狼蛛			1	5
864	27	87	258	龙血石人			1	5
865	27	46	51	萝卜			2	5
866	27	115	250	女娲石人			1	5
867	27	254	147	热布巴拉			1	5
868	27	49	51	索姆拉			2	5
869	27	222	213	偃师护法			1	5
870	27	33	251	玉溪西南校尉		城市	2	2
871	27	177	39	玉溪正北校尉		城市	2	2
872	27	197	280	玉溪正南校尉		城市	2	2
873	27	118	98	云母石人			1	5
874	28	106	285	场景：苗疆		传送	99	1
875	28	280	45	场景：石林		传送	99	1
876	28	187	43	车传福	驿站老板	传送	2	1
877	28	151	49	阿瓦			2	5
878	28	151	67	阿旺			2	5
879	28	128	50	白景武			2	5
880	28	147	47	白兰			2	5
881	28	193	95	丛林蜂			1	5
882	28	102	271	黑苗战士			1	5
883	28	282	143	黑沼豹			1	5
884	28	96	42	南诏西北校尉		城市	2	2
885	28	272	240	南诏东南校尉		城市	2	2
886	28	39	254	南诏西南校尉		城市	2	2
887	28	182	210	藤甲勇士			1	5
888	28	68	189	藤甲贼			1	5
889	28	103	210	图巴鲁			1	5
890	28	109	199	兀骨突			1	5
891	28	157	223	扬明			2	5
892	29	67	32	场景：南诏		传送	99	2
893	29	265	83	阿鼻修罗			1	5
894	29	92	266	阿会南			2	5
895	29	201	256	阿松			2	5
896	29	182	264	阿雨			2	5
897	29	205	208	厄修罗			1	5
898	29	196	161	古汉			1	5
899	29	252	260	洪天	宝石商人	宝石	2	3
900	29	250	45	苗疆东北校尉		城市	2	2
901	29	37	251	苗疆西南校尉		城市	2	2
902	29	281	160	苗疆正东校尉		城市	2	2
903	29	34	89	苗越刺客			1	5
904	29	186	271	石钟岩			2	5
905	29	37	198	万劫修罗			1	5
906	29	162	48	永夜修罗			1	5
907	29	44	40	沼泽鳄鱼			1	5
908	30	287	54	场景：龙泉		传送	99	2
909	30	42	227	场景：船坞		传送	99	2
910	30	34	50	场景：苏州		传送	99	2
911	30	265	286	场景：武夷		传送	99	2
912	30	91	45	场景：夜西湖		传送	99	2
913	30	64	240	白堤柳鬼			1	5
914	30	217	74	断桥花妖			1	5
915	30	51	184	归风庄庄客			1	5
916	30	68	48	花港毒蜂			1	5
917	30	141	47	金大坚			2	5
918	30	251	228	龙井水贼			1	5
919	30	187	256	马汉			2	5
920	30	182	209	水鬼探子			1	5
921	30	164	262	苏飞			2	5
922	30	46	55	王朝			2	5
923	30	45	267	西湖西南校尉		城市	2	2
924	30	261	231	西湖正东校尉		城市	2	2
925	30	39	139	西湖正西校尉		城市	2	2
926	30	155	55	张叔夜			2	5
927	31	172	280	场景：剑冢		传送	99	2
928	31	34	274	场景：西湖		传送	99	2
929	31	284	154	场景：清源		传送	99	2
930	31	51	115	阿青			2	5
931	31	242	255	常归云			1	5
932	31	227	47	法河			2	5
933	31	239	38	法湖			2	5
934	31	224	47	法江			2	5
935	31	207	63	法念			2	5
936	31	221	70	归风剑魄			1	5
937	31	242	162	归风庄剑师			1	5
938	31	60	194	拦路水鬼			1	5
939	31	165	137	雷焕			2	5
940	31	79	250	龙泉豹			1	5
941	31	218	282	龙泉东南校尉		城市	2	2
942	31	63	33	龙泉正北校尉		城市	2	2
943	31	35	121	龙泉正西校尉		城市	2	2
944	31	129	98	水鬼刺客			1	5
945	31	48	51	通天			1	5
946	31	150	126	翁伯之			2	5
947	31	151	121	翁季之			2	5
948	31	154	131	翁叔之			2	5
949	31	174	260	凿船水鬼			1	5
950	31	120	171	纵火水鬼			1	5
951	32	96	44	场景：黄龙洞		传送	99	2
952	32	283	180	场景：梅岭		传送	99	2
953	32	248	286	场景：南海		传送	99	2
954	32	36	33	场景：西湖		传送	99	2
955	32	158	113	白花蜘蛛			1	5
956	32	202	42	芙蓉			2	5
957	32	165	213	含笑			2	5
958	32	212	47	涧汀	鉴定符商人	鉴定	2	3
959	32	51	229	千年冰魄			1	5
960	32	194	52	曲阳			2	5
961	32	169	239	山越刀客			1	5
962	32	156	54	山越盗匪			1	5
963	32	152	47	山越游魂			1	5
964	32	268	244	山越战士			1	5
965	32	50	84	深谷白猿			1	5
966	32	258	125	树甲哨兵			1	5
967	32	205	43	水仙			2	5
968	32	158	143	忘尘			2	5
969	32	254	38	武夷东北校尉		城市	2	2
970	32	113	280	武夷正南校尉		城市	2	2
971	32	92	172	武夷正西校尉		城市	2	2
972	32	195	42	紫薇			2	5
973	33	192	279	场景：苗人洞		传送	99	2
974	33	33	275	场景：武夷		传送	99	2
975	33	276	29	场景：清源		传送	99	2
976	33	109	105	丛林野人			1	5
977	33	163	284	冬刺			2	5
978	33	162	274	甘草			2	5
979	33	40	250	红袍蜘蛛			1	5
980	33	161	286	荆棘			2	5
981	33	169	240	克里斯蒂安			2	5
982	33	230	250	流寇			1	5
983	33	271	37	梅岭东北校尉		城市	2	2
984	33	31	90	梅岭西北校尉		城市	2	2
985	33	282	236	梅岭正东校尉		城市	2	2
986	33	167	174	棚民			1	5
987	33	222	53	山越护法			1	5
988	33	120	71	山越祭司			1	5
989	33	170	74	沈万三			2	5
990	33	195	48	太阳花			2	5
991	33	159	285	银叶			2	5
992	33	192	70	月季			2	5
993	34	70	188	场景：海贼洞		传送	99	1
994	34	286	174	场景：琼州		传送	99	1
995	34	34	36	场景：武夷		传送	99	1
996	34	204	259	车传信	驿站老板	传送	2	1
997	34	111	60	丁涟漪			2	5
998	34	194	100	鳄鱼帮打手			1	5
999	34	158	80	鳄鱼帮混混			1	5
1000	34	214	243	李老太太			2	5
1001	34	292	58	南海东北校尉		城市	2	2
1002	34	70	135	南海鳄鱼			1	5
1003	34	239	216	南海海盗			1	5
1004	34	108	227	南海西南校尉		城市	2	2
1005	34	134	40	南海正北校尉		城市	2	2
1006	34	250	186	石敢当			2	5
1007	34	165	167	石老人			1	5
1008	34	115	58	叶流凡			2	5
1009	34	265	193	岳不平			2	5
1010	34	206	237	岳仲秋			2	5
1011	35	279	286	场景：南海		传送	99	2
1012	35	169	95	鳄鱼帮杀手			1	5
1013	35	111	200	鳄鱼帮堂主			1	5
1014	35	206	218	鳄鱼帮勇士			1	5
1015	35	246	138	洪龙	宝石商人	宝石	2	3
1016	35	246	151	凌忆慈			2	5
1017	35	252	63	南海盗神			1	5
1018	35	273	52	琼州东北校尉		城市	2	2
1019	35	243	150	琼州正东校尉		城市	2	2
1020	35	80	139	琼州正西校尉		城市	2	2
1021	35	110	110	裘老七			1	5
1022	35	260	195	嗜血鳄鱼			1	5
1023	35	274	269	悠悠			2	5
1024	35	241	159	元子衿			2	5
1025	35	256	242	岳老三			2	5
1026	35	280	215	武吉	南海铸师	商人	2	5
1027	77	15	24	孟婆			99	2
1028	112	290	60	场景：圣兽山		传送	99	2
1029	112	139	206	玄武岛·镜		传送	99	2
1030	112	82	30	归佳		传送	2	2
1031	112	85	38	沙洲冷			2	2
1032	112	130	86	兔子			3	3
1033	112	169	66	乌龟			3	3
1034	112	54	65	燕子			3	3
1035	112	139	111	刺猬			3	4
1036	112	234	57	狗			3	4
1037	112	203	69	猴子			3	4
1038	112	115	122	浣熊			3	5
1039	112	200	162	狼			3	5
1040	112	175	128	松鼠			3	5
1041	112	153	157	鹦鹉			3	5
1042	112	228	166	蝙蝠			3	6
1043	112	59	151	大螳螂			3	6
1044	112	68	121	鳄鱼			3	6
1045	112	101	155	蜥蜴			3	6
1046	112	62	256	獾			4	7
1047	112	96	254	老虎			4	7
1048	112	61	218	猫头鹰			4	7
1049	112	127	254	野猪			4	7
1050	112	250	236	豹子			4	8
1051	112	192	232	冰蚕			4	8
1052	112	181	268	鸵鸟			4	8
1053	112	216	270	鹰			4	8
1054	112	216	223	北极熊			4	9
1055	112	276	121	大猩猩			4	9
1056	112	285	149	剑齿虎			4	9
1057	112	263	166	孔雀			4	9
1058	112	247	98	駮马			4	10
1059	112	275	85	剑龙			4	10
1060	112	227	92	犀牛			4	10
1061	112	107	87	云决决			2	2
1062	166	18	16	场景：宝藏二		传送	99	2
1063	166	234	238	场景：敦煌		传送	99	2
1064	166	157	91	盗墓小贼			1	5
1065	166	236	230	胡德海			2	5
1066	166	34	230	护宝神兽			1	5
1067	166	175	100	孙德龙			2	5
1068	166	241	236	姚夫			2	5
1069	169	20	10	场景：宝藏三		传送	99	2
1070	169	233	236	场景：宝藏一		传送	99	2
1071	169	42	198	护宝神兽			1	5
1072	169	215	206	沙漠马匪			1	5
1073	169	236	226	姚公			2	5
1074	229	58	226	场景：辽西		传送	99	2
1075	229	53	219	周游		冰抗医生	5	4
1076	229	215	55	博拉			2	4
1077	229	59	80	豆豆			2	4
1078	229	172	25	宁令哥			2	4
1079	229	58	80	袁平			2	4
1080	229	83	37	企鹅王			1	5
1081	229	38	222	雪原狼			1	5
1082	229	50	148	银皑雪人			1	5
1083	229	168	210	雪原莽盖			1	5
1084	229	142	110	成年灵企鹅			1	5
1085	229	180	163	成年圣企鹅			1	5
1086	191	17	237	场景：宝藏二		传送	99	2
1087	191	245	16	场景：宝藏四		传送	99	2
1088	191	205	48	护宝神兽			1	5
1089	191	97	150	护宝铜人			1	5
1090	191	25	240	姚伯			2	5
1091	192	26	249	场景：宝藏三		传送	99	2
1092	192	246	22	场景：宝藏五		传送	99	2
1093	192	234	165	护宝神兽			1	5
1094	192	74	206	寻宝豪杰			1	5
1095	192	21	235	姚仲			2	5
1096	193	128	247	场景：宝藏四		传送	99	2
1097	193	123	213	洞穴石人			1	5
1098	193	127	25	木桶伯			1	5
1099	193	135	238	姚叔			2	5
1100	194	43	31	张正贵		伸冤	2	2
1101	199	23	228	场景：雁北		传送	99	2
1102	199	135	30	打草谷辽兵			1	5
1103	199	207	215	红枫熊			1	5
1104	199	221	149	红枫蜘蛛			1	5
1105	199	48	25	辽兵			1	5
1106	199	44	218	秦家寨护卫			1	5
1107	199	101	218	秦家寨教头			1	5
1108	199	162	219	秦家寨劫匪			1	5
1109	200	89	242	场景：梅岭		传送	99	2
1110	200	84	169	红袍蜘蛛			1	5
1111	200	185	43	流寇			1	5
1112	200	85	122	棚民			1	5
1113	200	121	15	山越护法			1	5
1114	200	29	100	山越祭司			1	5
1115	201	235	230	场景：玄武岛		传送	99	2
1116	201	221	150	駮马			4	5
1117	201	30	48	袋鼠			4	5
1118	201	187	98	剑龙			4	5
1119	201	161	166	犀牛			4	5
1120	201	71	207	小象			4	5
1121	201	190	230	雪貂			4	5
1122	202	69	104	场景：雁北		传送	99	2
1123	202	29	68	场景：古墓二		传送	99	2
1124	202	62	88	燕别秋	燕王古墓接引	任务	2	5
1125	202	107	94	鬼剑			1	5
1126	202	65	34	魅影偃师			1	5
1127	202	74	90	偷猎者			1	5
1128	203	106	18	场景：古墓三		传送	99	2
1129	203	87	93	场景：古墓一		传送	99	2
1130	203	45	87	石人			1	5
1131	203	45	87	树人			1	5
1132	203	101	35	岩魔			1	5
1133	204	7	24	场景：古墓二		传送	99	2
1134	204	110	114	场景：古墓四		传送	99	2
1135	204	105	104	缠丝蜘蛛王			1	5
1136	204	103	65	毒丝蜘蛛王			1	5
1137	204	64	16	墓穴毒蜂			1	5
1138	204	24	12	墓穴毒蛛			1	5
1139	205	103	10	场景：古墓三		传送	99	2
1140	205	63	52	场景：古墓五		传送	99	2
1141	205	57	35	春三十娘			1	5
1142	205	102	18	灰斑毒蛛			1	5
1143	205	66	112	吸血蝙蝠			1	5
1144	206	104	11	场景：古墓六		传送	99	2
1145	206	20	19	场景：古墓四		传送	99	2
1146	206	51	27	淬毒蛛			1	5
1147	206	104	36	伏地魔			1	5
1148	206	92	25	郭底辉	配方商人	配方	2	3
1149	206	51	27	骷髅兵			1	5
1150	207	64	60	场景：古墓七		传送	99	2
1151	207	64	116	场景：古墓五		传送	99	2
1152	207	65	44	白帝			1	5
1153	207	64	64	白帝的阴影			1	5
1154	207	44	99	鬼魂			1	5
1155	207	76	99	幽灵			1	5
1156	208	79	20	场景：古墓八		传送	99	2
1157	208	28	115	场景：古墓六		传送	99	2
1158	208	102	84	冥将			1	5
1159	208	72	29	死亡的嫔妃			1	5
1160	208	18	81	亡灵铠甲武士			1	5
1161	209	38	31	场景：古墓九		传送	99	2
1162	209	10	13	场景：古墓七		传送	99	2
1163	209	27	38	火狻猊			1	5
1164	209	25	37	泥浆武士			1	5
1165	209	92	16	血饮狂刀			1	5
1166	210	14	15	场景：古墓八		传送	99	2
1167	210	94	116	驳马			1	5
1168	210	64	77	赤霄			1	5
1169	210	58	78	赤霄火魂			1	5
1170	210	33	30	熔岩石人			1	5
1171	211	24	224	场景：西湖		传送	99	2
1172	211	140	213	断桥花妖			1	5
1173	211	22	206	花港毒蜂			1	5
1174	211	208	94	流寇			1	5
1175	211	49	98	龙井水贼			1	5
1176	211	206	223	密探			1	5
1177	211	142	235	水鬼探子			1	5
1178	212	15	15	场景：龙泉		传送	99	2
1179	212	130	238	暗杀者			1	5
1180	212	195	149	大剑师			1	5
1181	212	69	194	荒野剑客			1	5
1182	212	19	39	剑齿豹			1	5
1183	212	118	36	剑灵			1	5
1184	212	43	104	剑冢刺客			1	5
1185	213	22	235	场景：雁南		传送	99	2
1186	213	17	229	摩云天	摩崖洞接引	任务	2	5
1187	213	216	176	工魂影像			1	5
1188	213	17	216	秦家寨恶霸			1	5
1189	213	114	140	秦家寨护卫使			1	5
1190	213	114	88	秦家寨头领			1	5
1191	213	106	210	秦家寨土匪			1	5
1192	213	57	226	秦家寨卫兵			1	5
1193	214	21	36	场景：苍山		传送	99	2
1194	214	202	77	狼族神汉			1	5
1195	214	204	26	狼族头人			1	5
1196	214	182	50	狼族土司			1	5
1197	214	114	99	狼族勇士			1	5
1198	214	32	72	蓑衣野人			1	5
1199	214	90	107	雪狼			1	5
1200	215	25	235	场景：洱海		传送	99	2
1201	215	84	161	赤脚野人			1	5
1202	215	47	87	风狼			1	5
1203	215	42	216	花斑豹			1	5
1204	215	175	208	狼族荆棘使			1	5
1205	215	35	27	狼族探子			1	5
1206	215	230	77	狼族战士			1	5
1207	216	108	229	场景：武夷		传送	99	2
1208	216	196	207	白花蜘蛛			1	5
1209	216	122	124	山越护法			1	5
1210	216	119	98	山越祭司			1	5
1211	216	199	163	山越战士			1	5
1212	216	107	216	深谷白猿			1	5
1213	216	113	95	树甲哨兵			1	5
1214	217	230	236	场景：草原		传送	99	2
1215	217	203	229	草原狼			1	5
1216	217	25	218	打草谷宋兵			1	5
1217	217	175	207	蒙古黑蜂			1	5
1218	217	138	178	闪电马匪			1	5
1219	217	120	83	弯刀马匪			1	5
1220	217	170	36	追风马匪			1	5
1221	218	127	19	场景：辽西		传送	99	2
1222	218	207	128	盗墓马匪			1	5
1223	218	62	32	鬼狼			1	5
1224	218	33	27	黑毒蜂			1	5
1225	218	105	74	护墓莽盖			1	5
1226	218	36	169	骷髅			1	5
1227	218	125	238	一品堂刺客			1	5
1228	219	237	18	场景：石林		传送	99	2
1229	219	50	37	花岗石人			1	5
1230	219	50	224	花岗石狮			1	5
1231	219	22	68	狼蛛			1	5
1232	219	128	191	页岩石人			1	5
1233	219	107	28	棕熊			1	5
1234	220	20	19	场景：玉溪		传送	99	2
1235	220	43	24	花斑豹			1	5
1236	220	24	61	迷人蜂			1	5
1237	220	229	175	桃根仙			1	5
1238	220	123	63	桃花仙			1	5
1239	220	93	195	桃实仙			1	5
1240	220	208	220	桃枝仙			1	5
1241	221	42	228	场景：南海		传送	99	2
1242	221	193	104	鳄鱼帮打手			1	5
1243	221	48	72	鳄鱼帮混混			1	5
1244	221	27	177	南海鳄鱼			1	5
1245	221	218	160	南海海盗			1	5
1246	221	155	155	石老人			1	5
1247	222	108	228	场景：黄龙府		传送	99	2
1248	222	143	53	巴伦莽盖			1	5
1249	222	154	217	大黑熊			1	5
1250	222	29	180	雪山狼			1	5
1251	222	184	210	雪山莽盖			1	5
