INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
209	伏虎拳·破壁	87	0	1	6	160	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	少林2金刚Y1
210	固若金汤	94	0	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	少林2金刚Y2
211	断秽解业	95	0	1	7	162	5	24	44288	36	44289	60	44290	96	44291	156	44292	209	5	-1	-1	100	-1	-1	少林2金刚Y3
212	锻心洗髓	113	0	1	7	-1	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	少林2金刚Y4
213	舍生悟我	114	0	1	7	-1	5	24	30	36	60	60	90	96	120	156	150	210	5	-1	-1	-1	-1	-1	少林2金刚Y5
214	降魔镇躯	96	0	1	8	162	5	50	100	90	200	140	300	230	400	372	500	-1	-1	30	-1	44293	-1	-1	少林2金刚Y6
215	禅心入定	115	0	1	8	-1	5	50	44294	90	44295	140	44296	230	44297	372	44298	-1	-1	30	-1	-1	-1	-1	少林2金刚Y7
216	风卷行云	93	0	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	少林2金刚Y8
217	流风化羽	93	0	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	少林2金刚Y9
218	俱寂无声	93	0	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	少林2金刚Y10
219	摧心掌·破壁	87	1	0	6	187	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	明教2天罗X1
220	摧心掌·彻骨	89	1	0	6	187	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	明教2天罗X2
221	炎龙惑心	3	1	0	7	189	5	24	30	36	60	60	90	96	120	156	150	219	5	-1	-1	44299	-1	-1	明教2天罗X3
222	弦月擒霜	20	1	0	7	197	5	24	30	36	60	60	90	96	120	156	150	-1	-1	25	-1	-1	-1	-1	明教2天罗X4
223	圣火长明	91	1	0	7	189	5	24	44300	36	44301	60	44302	96	44303	156	44304	220	5	-1	-1	15	-1	-1	明教2天罗X5
224	赤焰压鼎	3	1	0	8	187	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44305	-1	-1	明教2天罗X6
225	在劫难逃	95	1	0	8	187	5	50	44306	90	44307	140	44308	230	44309	372	44310	-1	-1	30	-1	5	-1	-1	明教2天罗X7
226	风卷行云	93	1	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	明教2天罗X8
227	流风化羽	93	1	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	明教2天罗X9
228	俱寂无声	93	1	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	明教2天罗X10
229	摧心掌·破壁	87	1	1	6	187	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	明教2血戾Y1
230	固若金汤	94	1	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	明教2血戾Y2
231	透骨封心	96	1	1	7	189	5	24	120	36	240	60	360	96	480	156	600	229	5	-1	-1	44311	-1	-1	明教2血戾Y3
232	烈火焚身	97	1	1	7	189	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	明教2血戾Y4
233	噬月轮	95	1	1	7	189	5	24	44312	36	44313	60	44314	96	44315	156	44316	230	5	-1	-1	15	-1	-1	明教2血戾Y5
234	摧心留影	96	1	1	8	187	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44317	-1	-1	明教2血戾Y6
235	超凡入圣	98	1	1	8	187	5	50	20	90	40	140	60	230	80	372	100	-1	-1	30	-1	44318	-1	-1	明教2血戾Y7
236	风卷行云	93	1	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	明教2血戾Y8
237	流风化羽	93	1	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	明教2血戾Y9
238	俱寂无声	93	1	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	明教2血戾Y10
239	蟠龙击·破壁	87	2	0	6	213	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	丐帮2酒狂X1
240	蟠龙击·彻骨	89	2	0	6	213	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	丐帮2酒狂X2
241	掌中池鱼	3	2	0	7	215	5	24	30	36	60	60	90	96	120	156	150	239	5	-1	-1	44319	-1	-1	丐帮2酒狂X3
242	醉里寻欢	2	2	0	7	234	5	24	6	36	12	60	18	96	24	156	30	-1	-1	25	-1	-1	-1	-1	丐帮2酒狂X4
243	花醉满堂	20	2	0	7	215	5	24	20	36	40	60	60	96	80	156	100	240	5	-1	-1	-1	-1	-1	丐帮2酒狂X5
244	长歌衔酒	3	2	0	8	213	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44325	-1	-1	丐帮2酒狂X6
245	空樽邀月	99	2	0	8	-1	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44326	-1	-1	丐帮2酒狂X7
246	风卷行云	93	2	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	丐帮2酒狂X8
247	流风化羽	93	2	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	丐帮2酒狂X9
248	俱寂无声	93	2	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	丐帮2酒狂X10
249	蟠龙击·破壁	87	2	1	6	213	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	丐帮2行侠Y1
250	固若金汤	94	2	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	丐帮2行侠Y2
251	惊鸿绝脉	96	2	1	7	215	5	24	120	36	240	60	360	96	480	156	600	249	5	-1	-1	44327	-1	-1	丐帮2行侠Y3
252	痛饮千坛	97	2	1	7	215	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	丐帮2行侠Y4
253	舟摇帘绕	95	2	1	7	214	5	24	44328	36	44329	60	44330	96	44331	156	44332	250	5	-1	-1	100	-1	-1	丐帮2行侠Y5
254	断杖拘狼	96	2	1	8	213	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44333	-1	-1	丐帮2行侠Y6
255	坐观云卷	100	2	1	8	235	5	50	70	90	140	140	210	230	280	372	350	-1	-1	30	-1	-1	-1	-1	丐帮2行侠Y7
256	风卷行云	93	2	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	丐帮2行侠Y8
257	流风化羽	93	2	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	丐帮2行侠Y9
258	俱寂无声	93	2	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	丐帮2行侠Y10
259	八卦掌·滞脉	88	3	0	6	239	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	武当2凭虚X1
260	八卦掌·攻心	90	3	0	6	239	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	武当2凭虚X2
261	孤山闭	3	3	0	7	245	5	24	40	36	80	60	120	96	160	156	200	259	5	-1	-1	44334	-1	-1	武当2凭虚X3
262	剑指流云	92	3	0	7	245	5	24	40	36	80	60	120	96	160	156	200	-1	-1	25	-1	44394	-1	-1	武当2凭虚X4
263	万相皆归	91	3	0	7	240	5	24	44335	36	44336	60	44337	96	44338	156	44339	260	5	-1	-1	100	-1	-1	武当2凭虚X5
264	故步难离	3	3	0	8	239	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44340	-1	-1	武当2凭虚X6
265	疾光渐隐	49	3	0	8	249	5	50	50	90	100	140	150	230	200	372	250	-1	-1	30	2	373	-1	-1	武当2凭虚X7
266	唯我自在	93	3	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	武当2凭虚X8
267	凝光照雪	93	3	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	武当2凭虚X9
268	气定神闲	93	3	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	武当2凭虚X10
269	八卦掌·滞脉	88	3	1	6	239	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	武当2摘星Y1
270	固若金汤	94	3	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	武当2摘星Y2
271	断脉截元	96	3	1	7	242	5	24	60	36	120	60	180	96	240	156	300	269	5	-1	-1	44356	-1	-1	武当2摘星Y3
272	锐不可当	97	3	1	7	262	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	武当2摘星Y4
273	青锋化形	116	3	1	7	262	5	24	1	36	2	60	3	96	4	156	5	270	5	-1	2	379	-1	-1	武当2摘星Y5
274	刹那千年	96	3	1	8	239	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44357	-1	-1	武当2摘星Y6
275	落月飞星	102	3	1	8	247	5	50	1	90	2	140	3	230	4	372	5	-1	-1	30	-1	395	-1	-1	武当2摘星Y7
276	唯我自在	93	3	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	武当2摘星Y8
277	凝光照雪	93	3	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	武当2摘星Y9
278	气定神闲	93	3	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	武当2摘星Y10
279	拜月·滞脉	88	4	0	6	265	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	峨嵋2沁芳X1
280	拜月·攻心	103	4	0	6	273	5	12	200	24	400	36	600	60	800	96	1000	-1	-1	20	-1	-1	-1	-1	峨嵋2沁芳X2
281	暄风一醉	3	4	0	7	267	5	24	70	36	140	60	210	96	280	156	350	279	5	-1	-1	44358	-1	-1	峨嵋2沁芳X3
282	鹊踏枝	20	4	0	7	279	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	峨嵋2沁芳X4
283	妙手回春	104	4	0	7	423	5	24	100	36	110	60	120	96	130	156	150	280	5	-1	-1	-1	-1	-1	峨嵋2沁芳X5
284	疏桐绊月	3	4	0	8	265	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44359	-1	-1	峨嵋2沁芳X6
285	泠月西沉	33	4	0	8	288	5	50	50	90	100	140	150	230	200	372	250	-1	-1	30	-1	-1	-1	-1	峨嵋2沁芳X7
286	唯我自在	93	4	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	峨嵋2沁芳X8
287	凝光照雪	93	4	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	峨嵋2沁芳X9
288	气定神闲	93	4	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	峨嵋2沁芳X10
289	拜月·滞脉	88	4	1	6	265	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	峨嵋2清音Y1
290	固若金汤	94	4	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	峨嵋2清音Y2
291	四面楚歌	96	4	1	7	267	5	24	150	36	300	60	450	96	600	156	750	289	5	-1	-1	44360	-1	-1	峨嵋2清音Y3
292	一顾倾城	97	4	1	7	267	5	24	100	36	200	60	300	96	400	156	500	-1	-1	25	-1	-1	-1	-1	峨嵋2清音Y4
293	月落寒江	105	4	1	7	-1	5	24	20	36	40	60	60	96	80	156	100	290	5	-1	-1	-1	-1	-1	峨嵋2清音Y5
294	曲遏行云	96	4	1	8	265	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44361	-1	-1	峨嵋2清音Y6
295	余音绕梁	34	4	1	8	287	5	50	2	90	4	140	6	230	8	372	10	-1	-1	30	-1	-1	-1	-1	峨嵋2清音Y7
296	唯我自在	93	4	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	峨嵋2清音Y8
297	凝光照雪	93	4	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	峨嵋2清音Y9
298	气定神闲	93	4	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	峨嵋2清音Y10
299	蓝砂手·滞脉	88	5	0	6	291	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	星宿2寒冥X1
300	蓝砂手·攻心	90	5	0	6	291	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	星宿2寒冥X2
301	冰幽封魂	3	5	0	7	293	5	24	70	36	140	60	210	96	280	156	350	299	5	-1	-1	44362	-1	-1	星宿2寒冥X3
302	索命追魂	20	5	0	7	293	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	星宿2寒冥X4
303	附骨之疽	106	5	0	7	301	5	24	100	36	200	60	300	96	400	156	500	300	5	-1	-1	-1	-1	-1	星宿2寒冥X5
304	缠缚之怨	3	5	0	8	291	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44363	-1	-1	星宿2寒冥X6
305	御守冥星	107	5	0	8	-1	5	50	6	90	12	140	18	230	24	372	30	-1	-1	30	-1	-1	-1	-1	星宿2寒冥X7
306	唯我自在	93	5	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	星宿2寒冥X8
307	凝光照雪	93	5	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	星宿2寒冥X9
308	气定神闲	93	5	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	星宿2寒冥X10
309	蓝砂手·滞脉	88	5	1	6	291	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	星宿2九厄Y1
310	固若金汤	94	5	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	星宿2九厄Y2
311	深幽蚀脉	96	5	1	7	293	5	24	150	36	300	60	450	96	600	156	750	309	5	-1	-1	44364	-1	-1	星宿2九厄Y3
312	厄冥销骨	97	5	1	7	293	5	24	100	36	200	60	300	96	400	156	500	-1	-1	25	-1	-1	-1	-1	星宿2九厄Y4
313	蟾毒碎心	108	5	1	7	-1	5	24	10	36	20	60	30	96	40	156	50	310	5	-1	-1	-1	-1	-1	星宿2九厄Y5
314	噬心摄魄	96	5	1	8	291	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44365	-1	-1	星宿2九厄Y6
315	月盈无悲	109	5	1	8	299	5	50	20	90	40	140	60	230	80	372	100	-1	-1	30	-1	-1	-1	-1	星宿2九厄Y7
316	唯我自在	93	5	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	星宿2九厄Y8
317	凝光照雪	93	5	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	星宿2九厄Y9
318	气定神闲	93	5	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	星宿2九厄Y10
319	正阳手·滞脉	88	6	0	6	317	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	天龙2龙威X1
320	正阳手·攻心	90	6	0	6	317	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	天龙2龙威X2
321	明月封心	96	6	0	7	319	5	24	120	36	240	60	360	96	480	156	600	319	5	-1	-1	44366	-1	-1	天龙2龙威X3
322	血染澜沧	97	6	0	7	319	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	天龙2龙威X4
323	指尖晨昏	9	6	0	7	319	5	24	100	36	200	60	300	96	400	156	500	320	5	-1	60	481	-1	-1	天龙2龙威X5
324	袖手蹒跚	96	6	0	8	317	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44369	-1	-1	天龙2龙威X6
325	扶光赶月	2	6	0	8	338	5	50	20	90	40	140	60	230	80	372	100	-1	-1	30	-1	-1	-1	-1	天龙2龙威X7
326	唯我自在	93	6	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	天龙2龙威X8
327	凝光照雪	93	6	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	天龙2龙威X9
328	气定神闲	93	6	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	天龙2龙威X10
329	正阳手·滞脉	88	6	1	6	317	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	天龙2菩天Y1
330	固若金汤	94	6	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	天龙2菩天Y2
331	夜雨瞒天	3	6	1	7	319	5	24	30	36	60	60	90	96	120	156	150	329	5	-1	-1	44368	-1	-1	天龙2菩天Y3
332	破妄诀	20	6	1	7	319	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	天龙2菩天Y4
333	江月悲人	2	6	1	7	325	5	24	2	36	4	60	6	96	8	156	10	330	5	-1	-1	-1	-1	-1	天龙2菩天Y5
334	狂风缓度	3	6	1	8	317	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44367	-1	-1	天龙2菩天Y6
335	弹指三更	116	6	1	8	319	5	50	2	90	4	140	6	230	8	372	10	-1	-1	30	30	488	-1	-1	天龙2菩天Y7
336	唯我自在	93	6	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	天龙2菩天Y8
337	凝光照雪	93	6	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	天龙2菩天Y9
338	气定神闲	93	6	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	天龙2菩天Y10
339	雁南飞·破壁	87	7	0	6	343	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	天山2霜凝X1
340	雁南飞·彻骨	89	7	0	6	343	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	天山2霜凝X2
341	千里冰封	3	7	0	7	345	5	24	30	36	60	60	90	96	120	156	150	339	5	-1	-1	44370	-1	-1	天山2霜凝X3
342	凤逐千里	2	7	0	7	365	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	天山2霜凝X4
343	寻风赶月	91	7	0	7	345	5	24	44371	36	44372	60	44373	96	44374	156	44375	340	5	-1	-1	15	-1	-1	天山2霜凝X5
344	霜翎之梏	111	7	0	8	343	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44376	-1	-1	天山2霜凝X6
345	如雁如歌	95	7	0	8	343	5	50	44377	90	44378	140	44379	230	44380	372	44381	-1	-1	30	-1	5	-1	-1	天山2霜凝X7
346	风卷行云	93	7	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	天山2霜凝X8
347	流风化羽	93	7	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	天山2霜凝X9
348	俱寂无声	93	7	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	天山2霜凝X10
349	雁南飞·破壁	87	7	1	6	343	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	天山2雪隐Y1
350	固若金汤	94	7	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	天山2雪隐Y2
351	万里霜寒	96	7	1	7	345	5	24	120	36	240	60	360	96	480	156	600	349	5	-1	-1	44382	-1	-1	天山2雪隐Y3
352	惊鸿一击	97	7	1	7	345	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	天山2雪隐Y4
353	行云流水	9	7	1	7	345	5	24	50	36	100	60	150	96	200	156	250	350	5	-1	999999	495	-1	-1	天山2雪隐Y5
354	凌羽化缚	112	7	1	8	343	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44383	-1	-1	天山2雪隐Y6
355	游雁不羁	118	7	1	8	-1	5	50	75	90	150	140	225	230	300	372	375	-1	-1	30	-1	-1	-1	-1	天山2雪隐Y7
356	风卷行云	93	7	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	天山2雪隐Y8
357	流风化羽	93	7	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	天山2雪隐Y9
358	俱寂无声	93	7	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	天山2雪隐Y10
359	落英剑·滞脉	88	8	0	6	370	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	逍遥2逸仙X1
360	落英剑·攻心	90	8	0	6	370	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	逍遥2逸仙X2
361	定风波	3	8	0	7	372	5	24	30	36	60	60	90	96	120	156	150	359	5	-1	-1	44384	-1	-1	逍遥2逸仙X3
362	金石为开	117	8	0	7	372	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	逍遥2逸仙X4
363	夜尽无明	21	8	0	7	382	5	24	20	36	40	60	60	96	80	156	100	360	5	-1	-1	-1	-1	-1	逍遥2逸仙X5
364	寸步难行	3	8	0	8	370	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44385	-1	-1	逍遥2逸仙X6
365	剑心至明	97	8	0	8	384	5	50	70	90	140	140	210	230	280	372	350	-1	-1	30	-1	-1	-1	-1	逍遥2逸仙X7
366	唯我自在	93	8	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	逍遥2逸仙X8
367	凝光照雪	93	8	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	逍遥2逸仙X9
368	气定神闲	93	8	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	逍遥2逸仙X10
369	落英剑·滞脉	88	8	1	6	370	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	逍遥2明鬼Y1
370	固若金汤	94	8	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	逍遥2明鬼Y2
371	点灵犀	96	8	1	7	372	5	24	120	36	240	60	360	96	480	156	600	369	5	-1	-1	44386	-1	-1	逍遥2明鬼Y3
372	碎玉研珠	97	8	1	7	372	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	逍遥2明鬼Y4
373	一念通神	49	8	1	7	374	5	24	50	36	100	60	150	96	200	156	250	370	5	-1	999999	523	-1	-1	逍遥2明鬼Y5
374	摧风倒履	96	8	1	8	370	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44387	-1	-1	逍遥2明鬼Y6
375	凭云浣月	49	8	1	8	370	5	50	20	90	40	140	60	230	80	372	100	-1	-1	30	5	527	-1	-1	逍遥2明鬼Y7
376	唯我自在	93	8	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	逍遥2明鬼Y8
377	凝光照雪	93	8	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	逍遥2明鬼Y9
378	气定神闲	93	8	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	逍遥2明鬼Y10
379	弦歌不辍	-1	10	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	曼陀山庄弦歌不缀被动
380	余音·神威	39	10	0	2	396	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	曼陀山庄晚籁X1
381	朱弦叹	62	10	0	2	398	5	10	60	20	120	30	180	50	240	80	300	-1	-1	-1	-1	34	-1	-1	曼陀山庄晚籁X2
382	觅知音	20	10	0	3	399	5	20	20	30	40	50	60	80	80	130	100	380	5	-1	-1	-1	-1	-1	曼陀山庄晚籁X3
383	塞下曲	92	10	0	3	403	5	20	20	30	40	50	60	80	80	130	100	380	5	-1	-1	44799	-1	-1	曼陀山庄晚籁X4
384	春泥护花	119	10	0	3	409	5	20	100	30	200	50	300	80	400	130	500	381	5	-1	-1	-1	-1	-1	曼陀山庄晚籁X5
385	殊曲尤续	49	10	0	4	396	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	763	-1	-1	曼陀山庄晚籁X6
386	曲断愁肠	49	10	0	4	407	5	40	80	70	160	110	240	180	320	290	400	-1	-1	10	2	767	-1	-1	曼陀山庄晚籁X7
387	绝调镇魂	41	10	0	5	399	5	80	40	120	80	200	120	320	160	520	200	385	5	-1	-1	-1	-1	-1	曼陀山庄晚籁X8
388	冷露无声	4	10	0	5	405	5	80	100	120	200	200	300	320	400	520	500	-1	-1	15	-1	-1	-1	-1	曼陀山庄晚籁X9
389	悲音不共	120	10	0	5	416	5	80	480	120	510	200	540	320	570	520	600	-1	-1	15	-1	-1	-1	-1	曼陀山庄晚籁X10
390	韶光照野	-1	10	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	曼陀山庄韶光照野被动
391	余音·神威	39	10	1	2	396	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	曼陀山庄昭明Y1
392	北风愁杀	33	10	1	2	397	5	10	30	20	60	30	90	50	120	80	150	-1	-1	-1	-1	-1	-1	-1	曼陀山庄昭明Y2
393	阳春唱遍	1	10	1	3	404	5	20	80	30	160	50	240	80	320	130	400	391	5	-1	-1	5	-1	-1	曼陀山庄昭明Y3
394	瘦尽灯花	21	10	1	3	407	5	20	20	30	40	50	60	80	80	130	100	391	5	-1	-1	-1	-1	-1	曼陀山庄昭明Y4
395	春景有限	121	10	1	3	417	5	20	10	30	20	50	30	80	40	130	50	392	5	-1	-1	-1	-1	-1	曼陀山庄昭明Y5
396	莫负今朝	9	10	1	4	399	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	999	768	-1	-1	曼陀山庄昭明Y6
397	风鼓琼林	122	10	1	4	415	5	40	200	70	400	110	600	180	800	290	1000	-1	-1	10	-1	-1	-1	-1	曼陀山庄昭明Y7
398	心付瑶琴	4	10	1	5	418	5	80	50	120	100	200	150	320	200	520	250	396	5	-1	-1	-1	-1	-1	曼陀山庄昭明Y8
399	急竹繁丝	123	10	1	5	400	5	80	30	120	60	200	90	320	120	520	150	-1	-1	15	-1	44891	-1	-1	曼陀山庄昭明Y9
